Date,Ratio_a (HDFCLTD),Ratio_b (HDFCBANK)
2016-02-16,0.996945717,0.999845933
2016-02-17,0.999210881,1.001489547
2016-02-18,0.993310415,1.014924608
2016-02-19,0.992283229,0.999848401
2016-02-22,0.997690531,0.999444051
2016-02-23,0.993102797,0.981087231
2016-02-24,0.972409856,0.978918612
2016-02-25,1.020105665,0.992681129
2016-02-26,1.010597995,1.019466398
2016-02-29,1.006263642,1.011290323
2016-03-01,1.008629633,1.012656274
2016-03-02,1.028145308,1.023421226
2016-03-03,1.022372789,1.008588165
2016-03-04,1.004314371,1.004626667
2016-03-08,1.015456156,0.993728872
2016-03-09,0.98447381,1.010501405
2016-03-10,1.021707349,0.996535909
2016-03-11,1.006373846,1.007294982
2016-03-14,0.998448944,0.998882084
2016-03-15,0.959135238,0.99917279
2016-03-16,1.013137176,1.003652479
2016-03-17,0.984102314,0.98830608
2016-03-18,1.019177835,1.009819324
2016-03-21,1.019436819,1.01672501
2016-03-22,1.014636265,1.007890207
2016-03-23,0.995419913,0.995729943
2016-03-28,0.983315416,0.998237004
2016-03-29,0.984606638,1.00601432
2016-03-30,0.9907173,1.010580755
2016-03-31,0.991302788,1.00582187
2016-04-01,1.007054993,0.99374504
2016-04-04,0.991287947,1.004321481
2016-04-05,0.999773489,0.989149245
2016-04-06,0.998731252,1.003829968
2016-04-07,0.971689125,0.994347621
2016-04-08,1.008124387,1.00364756
2016-04-11,1.000231578,1.010950111
2016-04-12,1.009909242,0.992576684
2016-04-13,1.022420908,1.017638758
2016-04-18,1.015650926,1.005592789
2016-04-20,1.006711409,1.009238831
2016-04-21,1.008859649,0.993897163
2016-04-22,0.984175289,1.000916464
2016-04-25,0.982418942,1.001007188
2016-04-26,1.013758993,1.0188429
2016-04-27,0.994854963,1.009292095
2016-04-28,0.967944717,0.990882405
2016-04-29,1.002671457,1.016517797
2016-05-02,1.003169645,0.987018148
2016-05-03,1.007051928,1.000313157
2016-05-04,1.027555475,1.008363148
2016-05-05,1.028984866,1.004390828
2016-05-06,1.004429536,0.988828049
2016-05-09,1.030655934,1.019425713
2016-05-10,1.01242107,1.00306641
2016-05-11,0.98789545,0.994672024
2016-05-12,0.993395913,1.009044608
2016-05-13,0.975038675,0.992863981
2016-05-16,1.017538593,1.019195372
2016-05-17,1.026465506,0.991959064
2016-05-18,0.9920762,0.988902857
